The shortest path from 0 to each vertex is:
  v     Path 0->v
----    ---------
  1:    0 2714 2765 2779 1 
  2:    0 821 235 159 2523 2 
  3:    0 1954 257 1593 3 
  4:    0 821 175 4 
  5:    0 821 2356 819 1783 5 
  6:    0 821 1265 1675 1153 6 
  7:    0 821 2445 2958 1339 7 
  8:    0 286 8 
  9:    0 2605 329 1337 9 
 10:    0 1954 257 1841 1517 10 
 11:    0 286 2031 11 
 12:    0 821 2445 468 2507 279 12 
 13:    0 821 2356 492 13 
 14:    0 821 1346 719 14 
 15:    0 821 2445 252 1822 15 
 16:    0 821 235 57 16 
 17:    0 2539 2205 2566 2126 143 17 
 18:    0 821 2356 1476 2358 18 
 19:    0 821 726 19 
 20:    0 278 20 
 21:    0 2714 1971 2877 370 21 
 22:    0 1954 2419 848 22 
 23:    0 2539 2205 91 2153 23 
 24:    0 821 726 2910 24 
 25:    0 821 2356 426 2243 25 
 26:    0 821 175 26 
 27:    0 2220 954 27 
 28:    0 2714 1887 950 870 28 
 29:    0 2539 2205 342 29 
 30:    0 821 2445 252 2898 1878 30 
 31:    0 821 425 31 
 32:    0 2605 673 1240 32 
 33:    0 2714 1971 33 
 34:    0 2605 2281 552 34 
 35:    0 1954 257 2003 35 
 36:    0 821 1670 900 1912 36 
 37:    0 2539 1880 37 
 38:    0 821 1265 937 1116 38 
 39:    0 821 425 633 39 
 40:    0 2220 2426 40 
 41:    0 915 2283 41 
 42:    0 821 425 2008 630 42 
 43:    0 821 2445 468 2507 279 2369 43 
 44:    0 821 2356 44 
 45:    0 821 726 2343 2125 45 
 46:    0 1954 2419 848 399 2494 46 
 47:    0 2220 1093 47 
 48:    0 821 2356 426 2243 48 
 49:    0 2605 673 979 49 
 50:    0 821 2356 50 
 51:    0 821 1670 51 
 52:    0 2605 673 52 
 53:    0 821 2445 468 53 
 54:    0 2714 1971 33 54 
 55:    0 821 425 2529 55 
 56:    0 2714 2300 2880 56 
 57:    0 821 235 57 
 58:    0 2714 1971 595 2032 58 
 59:    0 1954 2419 848 399 410 59 
 60:    0 821 1670 337 60 
 61:    0 821 2445 802 61 
 62:    0 821 1265 945 62 
 63:    0 1954 2419 1355 63 
 64:    0 1954 2167 586 64 
 65:    0 2539 2205 91 2846 65 
 66:    0 286 2031 66 
 67:    0 821 425 31 2502 897 67 
 68:    0 2714 1971 595 2747 68 
 69:    0 915 1378 625 69 
 70:    0 2714 745 70 
 71:    0 2220 1093 71 
 72:    0 2320 1696 72 
 73:    0 1954 2419 848 674 73 
 74:    0 1954 2053 489 1357 74 
 75:    0 821 726 2343 75 
 76:    0 76 
 77:    0 1954 257 1841 2228 77 
 78:    0 2539 1103 1205 78 
 79:    0 1954 257 2003 35 79 
 80:    0 821 2356 1476 2358 80 
 81:    0 821 2445 367 2986 81 
 82:    0 2539 2205 91 1155 584 82 
 83:    0 915 1043 83 
 84:    0 821 2356 335 84 
 85:    0 1954 2419 848 399 1080 85 
 86:    0 821 425 2139 86 
 87:    0 821 175 827 101 87 
 88:    0 821 726 2231 2177 88 
 89:    0 821 2445 252 1822 89 
 90:    0 821 2445 252 1822 322 90 
 91:    0 2539 2205 91 
 92:    0 821 1918 694 2778 621 92 
 93:    0 286 2734 951 93 
 94:    0 821 2356 1005 94 
 95:    0 821 2356 335 95 
 96:    0 821 2445 468 890 96 
 97:    0 2220 97 
 98:    0 821 175 2866 98 
 99:    0 1954 2419 1355 1902 551 99 
100:    0 821 2445 468 2507 279 2369 100 
101:    0 821 175 827 101 
102:    0 821 726 634 460 102 
103:    0 2539 2205 342 103 
104:    0 821 1670 900 1912 36 104 
105:    0 821 425 2810 105 
106:    0 2220 1430 106 
