The shortest path from 0 to each vertex is:
  v     Path 0->v
----    ---------
  1:    0 54 46 1 
  2:    0 76 63 36 2 
  3:    0 76 63 36 79 3 
  4:    0 76 63 36 2 78 4 
  5:    0 38 80 26 5 
  6:    0 38 80 26 5 6 
  7:    0 38 80 27 7 
  8:    0 76 63 16 52 32 56 8 
  9:    0 38 80 26 9 
 10:    0 76 63 16 10 
 11:    0 76 63 36 2 11 
 12:    0 61 12 
 13:    0 76 63 13 
 14:    0 38 80 27 14 
 15:    0 38 80 26 9 15 
 16:    0 76 63 16 
 17:    0 54 17 
 18:    0 66 75 18 
 19:    0 76 63 16 52 19 
 20:    0 76 63 36 2 78 4 20 
 21:    0 76 63 36 21 
 22:    0 76 63 16 10 37 22 
 23:    0 66 89 67 23 
 24:    0 38 80 60 24 
 25:    0 38 80 26 5 25 
 26:    0 38 80 26 
 27:    0 38 80 27 
 28:    0 38 34 28 
 29:    0 54 17 29 
 30:    0 76 63 30 
 31:    0 76 63 16 52 32 31 
 32:    0 76 63 16 52 32 
 33:    0 76 63 16 35 33 
 34:    0 38 34 
 35:    0 76 63 16 35 
 36:    0 76 63 36 
 37:    0 76 63 16 10 37 
 38:    0 38 
 39:    0 38 80 26 5 25 39 
 40:    0 76 63 36 2 40 
 41:    0 76 63 16 10 37 51 41 
 42:    0 76 63 36 42 
 43:    0 61 97 43 
 44:    0 38 34 28 44 
 45:    0 76 63 36 42 45 
 46:    0 54 46 
 47:    0 38 47 
 48:    0 38 80 26 5 6 48 
 49:    0 38 80 27 14 49 
 50:    0 38 80 27 50 
 51:    0 76 63 16 10 37 51 
 52:    0 76 63 16 52 
 53:    0 76 63 16 10 37 53 
 54:    0 54 
 55:    0 76 63 36 42 55 
 56:    0 76 63 16 52 32 56 
 57:    0 54 57 
 58:    0 38 80 26 5 25 39 58 
 59:    0 38 80 26 59 
 60:    0 38 80 60 
 61:    0 61 
 62:    0 76 63 36 2 78 4 62 
 63:    0 76 63 
 64:    0 76 63 36 42 64 
 65:    0 38 80 26 5 65 
 66:    0 66 
 67:    0 66 89 67 
 68:    0 76 63 68 
 69:    0 76 69 
 70:    0 76 63 36 2 78 4 70 
 71:    0 38 80 26 9 71 
 72:    0 76 63 16 52 32 56 8 72 
 73:    0 66 75 18 73 
 74:    0 76 63 16 52 32 74 
 75:    0 66 75 
 76:    0 76 
 77:    0 76 63 16 52 32 77 
 78:    0 76 63 36 2 78 
 79:    0 76 63 36 79 
 80:    0 38 80 
 81:    0 76 63 16 10 37 22 81 
 82:    0 76 63 16 52 82 
 83:    0 76 63 16 52 32 77 83 
 84:    0 76 63 16 52 32 84 
 85:    0 76 63 36 42 64 85 
 86:    0 76 63 36 2 86 
 87:    0 61 97 87 
 88:    0 76 63 16 52 32 56 88 
 89:    0 66 89 
 90:    0 38 80 26 5 6 48 90 
 91:    0 66 93 91 
 92:    0 66 92 
 93:    0 66 93 
 94:    0 76 63 16 52 94 
 95:    0 76 95 
 96:    0 76 63 16 10 37 53 96 
 97:    0 61 97 
 98:    0 38 34 28 44 98 
 99:    0 38 47 99 
