The shortest path from 0 to each vertex is:
  v     Path 0->v
----    ---------
  1:    0 821 615 167 1480 1 
  2:    0 2539 2756 1941 2 
  3:    0 278 3 
  4:    0 3533 2429 4 
  5:    0 2605 52 5 
  6:    0 2714 655 6 
  7:    0 2605 2392 7 
  8:    0 821 615 3726 8 
  9:    0 821 3829 2464 9 
 10:    0 821 3242 749 10 
 11:    0 821 1866 11 
 12:    0 1954 1281 3555 1093 12 
 13:    0 1954 3392 101 13 
 14:    0 2220 1114 2498 187 14 
 15:    0 2539 618 2365 15 
 16:    0 2539 925 3851 206 16 
 17:    0 821 615 17 
 18:    0 1954 1281 3555 3279 18 
 19:    0 2539 3102 2548 19 
 20:    0 1954 1281 20 
 21:    0 2714 2304 2654 3820 21 
 22:    0 1954 3749 1856 22 
 23:    0 2714 196 1074 1932 23 
 24:    0 2605 2608 24 
 25:    0 821 1866 629 893 3518 25 
 26:    0 2539 2756 1941 2 26 
 27:    0 821 1866 121 27 
 28:    0 1954 1281 1313 2952 28 
 29:    0 3533 1130 3838 29 
 30:    0 821 3379 1060 30 
 31:    0 286 31 
 32:    0 2539 2905 32 
 33:    0 3533 1427 33 
 34:    0 420 1158 34 
 35:    0 2605 1838 2794 973 35 
 36:    0 1954 3348 1599 36 
 37:    0 821 3829 3741 125 1161 37 
 38:    0 821 3829 470 494 2307 38 
 39:    0 1954 3392 39 
 40:    0 2220 2849 1460 40 
 41:    0 1954 3392 3832 2478 41 
 42:    0 2714 196 42 
 43:    0 1954 1281 3555 43 
 44:    0 2539 3420 260 44 
 45:    0 3533 1130 1919 45 
 46:    0 821 1866 11 2683 46 
 47:    0 821 3878 47 
 48:    0 2220 1114 1909 48 
 49:    0 2714 112 140 49 
 50:    0 821 1866 1212 50 
 51:    0 2539 618 1147 322 51 
 52:    0 2605 52 
 53:    0 821 3829 470 1507 53 
 54:    0 821 1866 1212 3746 54 
 55:    0 2539 3102 55 
 56:    0 3533 1154 56 
 57:    0 1954 545 57 
 58:    0 2539 3969 2029 2117 58 
 59:    0 2320 59 
 60:    0 2714 196 1074 2048 60 
 61:    0 821 3379 1246 61 
 62:    0 2539 925 2036 62 
 63:    0 2605 3576 1418 63 
 64:    0 2220 1114 2968 64 
 65:    0 2539 925 2589 3011 65 
 66:    0 2539 925 3851 2670 66 
 67:    0 821 1866 11 67 
 68:    0 1954 3392 3832 1730 68 
 69:    0 2605 1855 1645 1670 69 
 70:    0 821 3829 1481 1370 70 
 71:    0 1954 1922 71 
 72:    0 821 3379 1060 72 
 73:    0 821 3379 1246 73 
 74:    0 3958 74 
 75:    0 2539 3969 3565 2323 75 
 76:    0 76 
 77:    0 2220 448 77 
 78:    0 2714 2744 78 
 79:    0 2605 1855 1645 79 
 80:    0 2539 3420 260 2661 80 
 81:    0 3533 1427 1779 81 
 82:    0 821 615 3726 82 
 83:    0 2220 448 1723 3872 83 
 84:    0 821 1866 11 1702 84 
 85:    0 2539 618 595 652 85 
 86:    0 821 1866 11 1702 86 
 87:    0 821 1866 11 739 680 87 
 88:    0 2539 618 2365 1744 88 
 89:    0 821 1866 1212 1980 89 
 90:    0 2320 59 90 
 91:    0 1954 1281 3555 1093 12 91 
 92:    0 2539 618 2844 1745 92 
 93:    0 1954 1281 3555 1093 93 
 94:    0 2539 3420 1906 2833 94 
 95:    0 821 615 3425 95 
 96:    0 2220 2849 1460 96 
 97:    0 420 166 97 
 98:    0 2539 3969 2029 207 98 
 99:    0 821 1866 629 2492 99 
100:    0 2220 2849 1646 3495 100 
101:    0 1954 3392 101 
102:    0 2220 2849 1460 1786 102 
103:    0 2539 618 2365 501 103 
104:    0 1954 3749 242 3163 104 
105:    0 821 3379 1060 105 
106:    0 821 615 2081 106 
107:    0 2539 3420 2679 2853 107 
108:    0 2605 2608 1971 108 
109:    0 2714 655 109 
110:    0 2539 925 2589 110 
111:    0 2539 111 
112:    0 2714 112 
113:    0 2605 1855 186 113 
114:    0 2539 3102 129 114 
115:    0 821 3829 470 494 115 
116:    0 2714 655 116 
117:    0 2539 3102 1562 117 
118:    0 286 3981 279 118 
119:    0 2220 1739 119 
120:    0 2220 1114 3267 120 
121:    0 821 1866 121 
122:    0 2220 448 3530 122 
123:    0 2220 1739 983 2402 123 
124:    0 2539 127 1038 124 
125:    0 821 3829 3741 125 
126:    0 2539 618 2365 2000 126 
127:    0 2539 127 
128:    0 2539 3969 2029 264 128 
129:    0 2539 3102 129 
130:    0 2714 112 140 3061 130 
131:    0 2605 1855 131 
132:    0 821 3242 749 132 
133:    0 2539 1743 133 
134:    0 2714 1127 2269 134 
135:    0 2539 2756 3873 3646 135 
136:    0 821 3829 1481 136 
137:    0 2220 1739 235 137 
138:    0 2605 52 2261 679 138 
139:    0 821 3379 1411 1526 139 
140:    0 2714 112 140 
141:    0 286 3981 141 
142:    0 2539 3420 260 142 
143:    0 821 615 167 143 
144:    0 821 3464 3978 3073 144 
145:    0 821 3829 2719 3449 3019 145 
146:    0 821 3379 1411 3328 1042 146 
147:    0 2539 925 3152 147 
148:    0 3533 1427 1835 148 
149:    0 2539 327 3393 149 
150:    0 286 3981 279 150 
151:    0 1954 3392 3832 2497 151 
152:    0 2539 2756 3873 152 
153:    0 2220 462 3062 153 
154:    0 2539 913 3043 3165 154 
155:    0 1954 3348 2071 2706 155 
156:    0 2539 327 3989 156 
157:    0 2539 618 2844 3666 157 
158:    0 2539 3420 260 3001 158 
159:    0 821 3379 194 159 
160:    0 2714 1127 513 160 
161:    0 821 3379 1060 598 161 
162:    0 3958 3398 2886 162 
163:    0 821 3379 1997 3830 3506 163 
164:    0 821 1866 11 2228 164 
165:    0 1954 3749 1279 165 
166:    0 420 166 
167:    0 821 615 167 
168:    0 821 1866 11 168 
169:    0 2714 1501 270 169 
170:    0 2539 1743 133 170 
171:    0 278 3 171 
172:    0 2714 112 550 172 
173:    0 2539 127 3453 1335 173 
174:    0 2220 818 3438 174 
175:    0 2714 1381 175 
176:    0 1954 1281 3555 3035 176 
177:    0 821 3829 3741 2233 177 
178:    0 821 3379 1246 2528 178 
179:    0 2605 52 179 
180:    0 3533 1130 3838 180 
181:    0 821 3829 2719 181 
182:    0 2539 3420 260 142 3687 182 
183:    0 2539 2756 2397 183 
184:    0 2220 1739 119 2148 184 
185:    0 1954 1281 2088 185 
186:    0 2605 1855 186 
187:    0 2220 1114 2498 187 
188:    0 1954 3392 1454 801 586 188 
189:    0 2539 327 189 
190:    0 2605 190 
191:    0 2714 112 851 191 
192:    0 821 3829 1481 3927 192 
193:    0 1954 1987 649 193 
194:    0 821 3379 194 
195:    0 2220 1114 1909 195 
196:    0 2714 196 
197:    0 1954 545 349 1288 197 
198:    0 3533 2949 1749 3415 198 
199:    0 2539 127 338 402 199 
200:    0 2714 1127 3828 200 
201:    0 2714 2966 2840 201 
202:    0 3958 202 
203:    0 2220 1114 1909 203 
204:    0 2320 204 
205:    0 821 3379 1638 205 
206:    0 2539 925 3851 206 
207:    0 2539 3969 2029 207 
208:    0 2539 925 3894 1196 1695 208 
209:    0 1954 3348 2071 209 
210:    0 821 3829 3741 876 210 
211:    0 2714 1127 3828 529 211 
212:    0 2539 3969 2029 404 1844 212 
213:    0 2539 3420 260 2661 213 
214:    0 2605 52 2261 214 
215:    0 1954 1281 1313 2952 1633 215 
216:    0 2539 925 1156 216 
217:    0 821 3829 2464 217 
218:    0 821 3379 3359 218 
219:    0 286 3981 279 219 
220:    0 821 3464 1632 220 
221:    0 821 1866 11 947 813 221 
222:    0 286 2684 222 
223:    0 2539 925 1156 3133 1663 223 
224:    0 2539 913 224 
225:    0 1954 3392 3832 2478 225 
226:    0 3533 226 
227:    0 1954 3392 236 227 
228:    0 2539 3420 2679 1904 228 
229:    0 821 1866 629 2492 99 229 
230:    0 2539 3420 1906 230 
231:    0 1954 545 231 
232:    0 2539 913 1666 232 
233:    0 3533 226 2062 233 
234:    0 2539 3969 3565 2675 234 
235:    0 2220 1739 235 
236:    0 1954 3392 236 
237:    0 2605 2392 3087 237 
238:    0 2539 127 338 238 
239:    0 2220 818 3438 239 
240:    0 821 3829 470 2310 240 
241:    0 821 3464 1632 241 
242:    0 1954 3749 242 
243:    0 821 1866 1212 243 
244:    0 2539 3420 2679 244 
245:    0 2539 925 2036 245 
246:    0 2539 618 2365 2000 246 
247:    0 2539 127 1635 3948 247 
248:    0 821 3379 194 2083 248 
249:    0 1954 3392 101 465 249 
250:    0 2220 448 1723 791 250 
251:    0 2539 2756 3873 251 
252:    0 2539 618 1647 252 
253:    0 2539 618 2365 2000 246 253 
254:    0 2539 618 1647 2046 254 
255:    0 2539 3102 255 
256:    0 2539 3420 260 1534 256 
257:    0 821 3464 1476 3775 257 
258:    0 2539 618 2365 3375 258 
259:    0 2714 1127 1648 1320 259 
260:    0 2539 3420 260 
261:    0 915 3651 261 
262:    0 3958 605 262 
263:    0 278 263 
264:    0 2539 3969 2029 264 
265:    0 2714 2966 3109 265 
266:    0 2539 2756 266 
267:    0 2539 1743 267 
268:    0 2605 52 2261 268 
269:    0 2539 327 269 
270:    0 2714 1501 270 
271:    0 2539 618 1647 271 
272:    0 2714 272 
273:    0 2539 913 1666 273 
274:    0 2605 3576 274 
275:    0 821 3242 2360 275 
276:    0 2539 127 1038 1793 276 
277:    0 821 3242 277 
278:    0 278 
279:    0 286 3981 279 
280:    0 2539 3969 3565 2323 280 
281:    0 821 1866 11 3108 2969 281 
282:    0 2539 618 2844 3666 282 
283:    0 2539 925 1156 216 283 
284:    0 821 2790 284 
285:    0 1954 3749 1279 381 285 
286:    0 286 
287:    0 2539 3102 2548 19 287 
288:    0 2539 618 2450 288 
289:    0 821 1866 629 1977 289 
290:    0 2539 2756 3873 251 290 
291:    0 1954 3392 1454 291 
292:    0 821 615 3175 292 
293:    0 2539 127 338 293 
294:    0 821 3829 3668 1948 294 
295:    0 2539 3420 1906 2833 295 
296:    0 821 1866 11 947 296 
297:    0 2714 112 894 297 
298:    0 2539 618 2844 298 
299:    0 2539 3969 2029 264 299 
300:    0 2539 925 2036 300 
301:    0 1954 3749 500 301 
302:    0 2220 1739 777 302 
