The shortest path from 0 to each vertex is:
  v     Path 0->v
----    ---------
  1:    0 286 27 146 102 173 64 239 296 1 
  2:    0 286 27 146 229 2 
  3:    0 278 3 
  4:    0 286 4 
  5:    0 286 27 146 102 233 5 
  6:    0 76 6 
  7:    0 286 27 146 102 159 143 7 
  8:    0 286 27 146 92 192 240 8 
  9:    0 286 180 9 
 10:    0 234 203 241 10 
 11:    0 286 32 253 52 11 
 12:    0 278 3 12 
 13:    0 211 93 189 275 175 13 
 14:    0 286 180 9 14 
 15:    0 286 15 
 16:    0 286 21 16 
 17:    0 286 27 146 102 137 117 17 
 18:    0 286 27 146 25 18 
 19:    0 286 27 146 102 173 148 292 19 
 20:    0 138 20 
 21:    0 286 21 
 22:    0 211 22 
 23:    0 278 3 71 254 23 
 24:    0 286 27 146 267 124 31 91 24 
 25:    0 286 27 146 25 
 26:    0 211 93 106 36 188 26 
 27:    0 286 27 
 28:    0 76 6 154 28 
 29:    0 76 6 154 29 
 30:    0 286 180 39 156 30 
 31:    0 286 27 146 267 124 31 
 32:    0 286 32 
 33:    0 286 27 146 102 233 295 33 
 34:    0 76 264 276 60 34 
 35:    0 211 93 189 171 35 
 36:    0 211 93 106 36 
 37:    0 286 180 37 
 38:    0 286 27 146 102 233 5 38 
 39:    0 286 180 39 
 40:    0 286 21 226 284 214 40 
 41:    0 286 4 41 
 42:    0 286 27 146 102 238 42 
 43:    0 286 32 253 43 
 44:    0 286 27 146 267 44 
 45:    0 286 27 146 267 118 45 
 46:    0 211 107 46 
 47:    0 286 27 146 102 173 64 47 
 48:    0 211 93 106 48 
 49:    0 286 180 37 49 
 50:    0 76 6 297 50 
 51:    0 286 15 265 51 
 52:    0 286 32 253 52 
 53:    0 286 27 146 53 
 54:    0 286 27 146 267 118 294 54 
 55:    0 286 21 270 55 
 56:    0 286 27 146 102 173 64 239 273 56 
 57:    0 286 27 146 102 173 64 239 114 187 57 
 58:    0 211 93 189 275 175 13 58 
 59:    0 286 27 146 102 238 42 59 
 60:    0 76 264 276 60 
 61:    0 234 61 
 62:    0 286 15 265 125 62 
 63:    0 286 27 146 53 63 
 64:    0 286 27 146 102 173 64 
 65:    0 286 27 146 92 192 240 65 
 66:    0 286 15 265 194 196 170 66 
 67:    0 211 93 106 67 
 68:    0 286 27 146 102 173 64 110 147 68 
 69:    0 286 27 146 102 173 64 110 69 
 70:    0 286 27 146 92 70 
 71:    0 278 3 71 
 72:    0 278 3 71 72 
 73:    0 76 6 73 
 74:    0 286 15 139 155 183 83 74 
 75:    0 286 198 75 
 76:    0 76 
 77:    0 286 27 146 102 159 143 288 77 
 78:    0 211 107 78 
 79:    0 211 107 79 
 80:    0 286 198 80 
 81:    0 286 27 146 102 233 5 38 81 
 82:    0 286 21 226 284 214 82 
 83:    0 286 15 139 155 183 83 
 84:    0 286 15 212 84 
 85:    0 286 32 298 85 
 86:    0 286 21 270 86 
 87:    0 286 15 212 144 87 
 88:    0 286 15 139 155 183 83 88 
 89:    0 286 27 146 92 192 240 65 89 
 90:    0 286 15 299 252 90 
 91:    0 286 27 146 267 124 31 91 
 92:    0 286 27 146 92 
 93:    0 211 93 
 94:    0 286 27 146 166 94 
 95:    0 286 21 270 95 
 96:    0 286 27 146 267 118 96 
 97:    0 286 32 193 97 
 98:    0 286 15 265 125 98 
 99:    0 286 27 146 267 118 294 99 
100:    0 286 27 146 102 173 64 239 100 
101:    0 286 32 298 101 
102:    0 286 27 146 102 
103:    0 286 180 37 103 
104:    0 286 27 146 102 173 64 239 114 187 57 104 
105:    0 76 6 154 28 105 
106:    0 211 93 106 
107:    0 211 107 
108:    0 211 93 106 108 
109:    0 286 15 265 109 
110:    0 286 27 146 102 173 64 110 
111:    0 286 27 146 102 173 64 239 296 111 
112:    0 286 271 218 112 
113:    0 286 27 146 267 285 113 
114:    0 286 27 146 102 173 64 239 114 
115:    0 76 6 154 115 
116:    0 286 32 244 116 
117:    0 286 27 146 102 137 117 
118:    0 286 27 146 267 118 
119:    0 76 169 119 
120:    0 76 6 120 
121:    0 286 180 121 
122:    0 286 15 212 122 
123:    0 211 22 123 
124:    0 286 27 146 267 124 
125:    0 286 15 265 125 
126:    0 286 27 146 267 285 126 
127:    0 211 93 189 275 127 
128:    0 211 93 189 275 128 
129:    0 286 21 226 129 
130:    0 286 130 
131:    0 286 21 226 131 
132:    0 286 15 139 155 132 
133:    0 76 6 154 28 105 133 
134:    0 286 27 146 102 137 134 
135:    0 234 152 135 
136:    0 286 15 265 194 136 
137:    0 286 27 146 102 137 
138:    0 138 
139:    0 286 15 139 
140:    0 76 6 154 28 105 140 
141:    0 76 6 141 
142:    0 286 15 265 142 
143         41
270         19
271         15
272         22
273         21
274         19
275         16
276         14
277         24
278          3
279         21
280         19
281         18
282         29
283         23
284         20
285         15
286          2
287         26
288         18
289         26
290         27
291         20
292         21
293         17
294         17
295         15
296         18
297         16
298         20
299          7

2 159 
160:    0 286 15 265 51 167 160 
161:    0 211 93 189 275 161 
162:    0 286 27 146 92 192 162 
163:    0 286 180 39 163 
164:    0 278 164 
165:    0 76 6 154 28 165 
166:    0 286 27 146 166 
167:    0 286 15 265 51 167 
168:    0 76 6 297 50 168 
169:    0 76 169 
170:    0 286 15 265 194 196 170 
171:    0 211 93 189 171 
172:    0 286 27 146 293 172 
173:    0 286 27 146 102 173 
174:    0 234 174 
175:    0 211 93 189 275 175 
176:    0 286 27 146 151 219 182 176 
177:    0 286 15 299 252 90 249 177 
178:    0 286 15 265 178 
179:    0 286 27 146 267 118 294 179 
180:    0 286 180 
181:    0 286 27 146 267 124 31 91 181 
182:    0 286 27 146 151 219 182 
183:    0 286 15 139 155 183 
184:    0 286 180 39 156 184 
185:    0 286 15 139 155 183 185 
186:    0 286 27 146 151 219 182 186 
187:    0 286 27 146 102 173 64 239 114 187 
188:    0 211 93 106 36 188 
189:    0 211 93 189 
190:    0 76 6 154 115 190 
191:    0 234 61 191 
192:    0 286 27 146 92 192 
193:    0 286 32 193 
194:    0 286 15 265 194 
195:    0 286 27 146 151 195 
196:    0 286 15 265 194 196 
197:    0 286 27 146 267 118 45 221 197 
198:    0 286 198 
199:    0 286 27 146 102 173 148 199 
200:    0 286 27 146 102 173 200 
201:    0 286 15 265 125 201 
202:    0 286 27 146 102 173 148 292 202 
203:    0 234 203 
204:    0 286 15 139 204 
205:    0 286 27 146 92 192 240 8 205 
206:    0 286 27 146 102 233 295 33 206 
207:    0 286 27 146 92 192 207 
208:    0 286 15 265 142 210 208 
209:    0 234 203 241 209 
210:    0 286 15 265 142 210 
211:    0 211 
212:    0 286 15 212 
213:    0 286 27 146 267 285 213 
214:    0 286 21 226 284 214 
215:    0 138 215 
216:    0 286 15 139 216 
217:    0 278 217 
218:    0 286 271 218 
219:    0 286 27 146 151 219 
220:    0 76 220 
221:    0 286 27 146 267 118 45 221 
222:    0 286 180 222 
223:    0 286 27 146 223 
224:    0 286 130 224 
225:    0 286 27 146 102 173 64 239 296 1 225 
226:    0 286 21 226 
227:    0 286 15 265 178 227 
228:    0 286 15 139 155 228 
229:    0 286 27 146 229 
230:    0 211 93 106 230 
231:    0 286 15 265 194 136 231 
232:    0 286 27 146 229 246 232 
233:    0 286 27 146 102 233 
234:    0 234 
235:    0 286 27 146 151 219 182 235 
236:    0 286 15 212 236 
237:    0 286 180 37 237 
238:    0 286 27 146 102 238 
239:    0 286 27 146 102 173 64 239 
240:    0 286 27 146 92 192 240 
241:    0 234 203 241 
242:    0 211 93 242 
243:    0 286 15 212 243 
244:    0 286 32 244 
245:    0 211 93 189 275 245 
246:    0 286 27 146 229 246 
247:    0 211 93 106 149 247 
248:    0 286 15 299 252 248 
249:    0 286 15 299 252 90 249 
250:    0 76 264 276 60 250 
251:    0 286 27 146 267 118 294 251 
252:    0 286 15 299 252 
253:    0 286 32 253 
254:    0 278 3 71 254 
255:    0 286 130 224 255 
256:    0 278 256 
257:    0 211 93 189 275 127 257 
258:    0 286 27 146 267 118 294 258 
259:    0 286 27 146 151 219 182 259 
260:    0 76 6 154 28 105 260 
261:    0 286 32 298 85 261 
262:    0 76 264 262 
263:    0 278 3 263 
264:    0 76 264 
265:    0 286 15 265 
266:    0 286 198 266 
267:    0 286 27 146 267 
268:    0 268 
269:    0 211 93 106 67 269 
270:    0 286 21 270 
271:    0 286 271 
272:    0 138 272 
273:    0 286 27 146 102 173 64 239 273 
274:    0 286 27 146 102 173 64 110 147 274 
275:    0 211 93 189 275 
276:    0 76 264 276 
277:    0 211 93 106 67 277 
278:    0 278 
279:    0 286 27 146 102 173 64 110 147 274 279 
280:    0 286 32 280 
281:    0 278 3 263 281 
282:    0 286 27 146 102 173 64 239 296 282 
283:    0 286 4 283 
284:    0 286 21 226 284 
285:    0 286 27 146 267 285 
286:    0 286 
287:    0 286 27 146 151 219 182 287 
288:    0 286 27 146 102 159 143 288 
289:    0 138 20 289 
290:    0 286 180 39 156 184 290 
291:    0 286 27 146 102 238 291 
292:    0 286 27 146 102 173 148 292 
293:    0 286 27 146 293 
294:    0 286 27 146 267 118 294 
295:    0 286 27 146 102 233 295 
296:    0 286 27 146 102 173 64 239 296 
297:    0 76 6 297 
298:    0 286 32 298 
299:    0 286 15 299 
