The shortest path from 0 to each vertex is:
  v     Path 0->v
----    ---------
  1:    0 420 261 149 179 1 
  2:    0 286 134 197 492 137 191 2 
  3:    0 138 361 3 
  4:    0 286 134 434 29 4 
  5:    0 420 261 149 61 333 244 5 
  6:    0 278 168 6 
  7:    0 420 261 334 483 328 25 7 
  8:    0 286 134 434 20 360 8 
  9:    0 420 261 334 452 463 429 145 9 
 10:    0 76 357 78 224 481 10 
 11:    0 76 357 78 224 11 
 12:    0 420 245 12 
 13:    0 420 261 150 480 52 105 13 
 14:    0 286 326 204 221 14 
 15:    0 420 261 150 454 62 15 
 16:    0 76 357 128 58 232 342 16 
 17:    0 286 134 434 396 484 17 
 18:    0 420 261 149 61 333 18 
 19:    0 278 19 
 20:    0 286 134 434 20 
 21:    0 76 357 251 21 
 22:    0 76 357 251 218 322 22 
 23:    0 76 357 251 23 
 24:    0 286 134 197 492 475 111 414 24 
 25:    0 420 261 334 483 328 25 
 26:    0 286 134 151 26 
 27:    0 420 261 149 61 333 244 362 27 
 28:    0 234 370 435 28 
 29:    0 286 134 434 29 
 30:    0 420 349 281 203 30 
 31:    0 286 326 256 31 
 32:    0 420 261 149 126 32 
 33:    0 420 261 149 61 333 244 33 
 34:    0 420 261 150 454 382 34 
 35:    0 420 261 150 480 52 105 35 
 36:    0 420 261 149 61 338 274 36 
 37:    0 286 134 434 20 165 37 
 38:    0 420 406 388 38 
 39:    0 420 261 149 61 333 244 5 39 
 40:    0 286 464 40 
 41:    0 420 261 47 460 41 
 42:    0 286 134 228 335 89 239 42 
 43:    0 286 134 434 20 289 43 
 44:    0 420 406 347 44 
 45:    0 76 357 128 58 232 342 45 
 46:    0 76 357 128 58 232 158 46 
 47:    0 420 261 47 
 48:    0 286 134 434 140 195 113 48 
 49:    0 420 261 334 458 49 
 50:    0 420 261 334 452 405 327 50 
 51:    0 286 134 434 29 51 
 52:    0 420 261 150 480 52 
 53:    0 420 261 149 61 53 
 54:    0 286 134 434 20 289 43 54 
 55:    0 420 261 334 452 405 55 
 56:    0 420 261 47 460 352 56 
 57:    0 286 134 434 417 413 57 
 58:    0 76 357 128 58 
 59:    0 420 261 150 480 52 105 155 59 
 60:    0 138 60 
 61:    0 420 261 149 61 
 62:    0 420 261 150 454 62 
 63:    0 286 134 434 20 165 161 439 63 
 64:    0 286 134 434 417 413 143 314 64 
 65:    0 420 349 65 
 66:    0 420 261 149 61 462 196 66 
 67:    0 76 357 251 218 88 67 
 68:    0 76 357 128 58 232 71 194 68 
 69:    0 76 357 128 58 232 71 194 69 
 70:    0 420 261 150 480 52 105 13 70 
 71:    0 76 357 128 58 232 71 
 72:    0 286 134 197 492 137 72 
 73:    0 420 261 149 377 73 
 74:    0 286 134 197 400 74 
 75:    0 76 357 78 224 11 75 
 76:    0 76 
 77:    0 420 261 149 377 77 
 78:    0 76 357 78 
 79:    0 420 261 47 460 352 210 79 
 80:    0 286 134 228 225 80 
 81:    0 286 464 81 
 82:    0 286 134 197 492 82 
 83:    0 420 440 83 
 84:    0 420 245 84 
 85:    0 420 261 149 61 333 244 85 
 86:    0 420 261 150 454 382 118 86 
 87:    0 420 261 47 460 271 87 
 88:    0 76 357 251 218 88 
 89:    0 286 134 228 335 89 
 90:    0 420 261 149 61 333 244 459 90 
 91:    0 420 349 281 91 
 92:    0 286 134 434 396 484 92 
 93:    0 420 261 334 483 436 112 157 93 
 94:    0 420 261 334 458 49 94 
 95:    0 420 349 95 
 96:    0 420 261 334 483 96 
 97:    0 286 134 228 335 341 97 
 98:    0 286 134 197 492 137 451 98 
 99:    0 76 357 78 224 99 
100:    0 286 326 418 100 
101:    0 286 326 256 31 101 
102:    0 420 261 150 144 102 
103:    0 420 261 150 480 316 103 
104:    0 420 261 149 61 333 408 104 
105:    0 420 261 150 480 52 105 
106:    0 286 134 434 20 106 
107:    0 76 491 107 
108:    0 76 357 251 108 
109:    0 76 491 109 
110:    0 76 357 78 224 304 173 110 
111:    0 286 134 197 492 475 111 
112:    0 420 261 334 483 436 112 
113:    0 286 134 434 140 195 113 
114:    0 76 357 78 224 304 306 114 
115:    0 76 357 78 224 115 
116:    0 76 357 78 224 304 173 116 
117:    0 76 357 251 21 117 
118:    0 420 261 150 454 382 118 
119:    0 420 261 47 460 352 119 
120:    0 420 261 149 61 333 244 85 310 120 
121:    0 286 134 434 396 212 132 121 
122:    0 420 349 281 203 122 
123:    0 76 491 123 
124:    0 420 261 334 483 328 124 
125:    0 420 245 84 125 
126:    0 420 261 149 126 
127:    0 286 464 81 127 
128:    0 76 357 128 
129:         19
270         13
271          8
272         17
273          9
274         12
275         23
276         17
277         19
278          3
279         22
280         15
281          9
282         14
283         14
284         18
285         15
286          2
287         18
288         13
289         10
290         15
291         13
292         13
293         13
294          8
295         20
296         16
297         13
298         13
299         15
300         15
301         15
302         15
303         20
304         10
305         17
306         14
307         14
308         17
309         17
310         14
311         19
312         15
313         18
314         16
315         17
316         12
317         13
318         13
319         18
320         14
321         15
322         13
323         18
324         10
325         12
326          8
327         15
328         11
329         16
330         13
331         18
332         15
333          8
334          5
335         12
336         14
337         15
338         10
339         17
340         15
341         13
342         15
343         16
344         15
345         13
346         12
347         14
348         19
349          7
350         16
351          9
352         11
353         15
354         12
355         14
356         12
357          7
358         20
359         15
360         15
361          9
362         11
363         15
364         12
365         20
366         18
367         17
368         12
369         13
370         11
371         16
372         14
373         14
374         15
375         16
376         16
377         12
378         17
379         15
380         14
381         20
382         12
383         15
384         20
385         14
386         21
387         14
388         16
389         20
390         18
391         18
392         17
393         12
394         13
395         19
396         10
397         11
398         16
399         19
400         15
401         19
402         16
403         12
404         17
405         10
406         12
407          9
408          9
409         10
410         19
411         15
412         16
413         11
414         14
415         10
416         21
417          7
418         13
419         16
420          3
421         18
422         11
423         15
424         21
425         18
426         13
427         16
428         20
429          9
430         16
431         12
432         19
433         18
434          6
435         12
436          9
437         12
438         13
439         15
440          6
441         14
442         17
443         13
444         15
445         18
446         11
447         15
448         16
449          9
450         14
451         15
452          7
453         13
454         10
455          9
456         12
457         20
458          7
459         12
460          7
461         18
462         16
463          8
464          4
465          9
466         19
467         18
468         14
469         15
470          8
471         19
472         15
473         15
474         11
475         12
476         13
477         12
478         16
479         16
480          9
481         13
482         15
483          7
484         12
485         16
486         11
487         16
488         15
489         13
490         17
491         10
492          9
493         14
494         13
495         21
496         16
497         18
498         11
499         11

0 286 220 243 
244:    0 420 261 149 61 333 244 
245:    0 420 245 
246:    0 76 357 128 58 232 342 16 246 
247:    0 420 261 334 483 436 247 
248:    0 420 261 334 452 405 248 
249:    0 420 261 334 452 405 55 292 336 249 
250:    0 420 261 47 460 271 250 
251:    0 76 357 251 
252:    0 286 134 434 396 484 252 
253:    0 278 253 
254:    0 420 261 150 480 52 105 254 
255:    0 286 134 197 455 255 
256:    0 286 326 256 
257:    0 76 357 78 224 481 257 
258:    0 286 134 197 455 255 258 
259:    0 420 242 259 
260:    0 76 357 78 224 409 260 
261:    0 420 261 
262:    0 420 261 150 480 52 105 262 
263:    0 420 440 153 263 
264:    0 420 261 150 290 264 
265:    0 76 357 78 224 99 394 265 
266:    0 286 134 197 266 
267:    0 286 134 434 20 106 267 
268:    0 268 
269:    0 286 134 434 20 165 175 269 
270:    0 76 357 78 224 99 270 
271:    0 420 261 47 460 271 
272:    0 286 134 197 455 482 272 
273:    0 420 261 149 61 273 
274:    0 420 261 149 61 338 274 
275:    0 286 134 434 20 360 275 
276:    0 420 245 12 276 
277:    0 420 261 334 483 328 135 277 
278:    0 278 
279:    0 286 134 434 396 212 279 
280:    0 420 261 149 61 333 408 280 
281:    0 420 349 281 
282:    0 286 134 197 455 282 
283:    0 420 261 156 283 
284:    0 76 357 78 224 481 472 284 
285:    0 76 357 128 285 
286:    0 286 
287:    0 420 261 150 468 287 
288:    0 76 357 78 224 304 173 139 288 
289:    0 286 134 434 20 289 
290:    0 420 261 150 290 
291:    0 76 357 78 224 409 291 
292:    0 420 261 334 452 405 55 292 
293:    0 420 261 150 293 
294:    0 420 261 334 483 294 
295:    0 420 261 334 452 456 171 295 
296:    0 420 261 334 483 96 296 
297:    0 211 297 
298:    0 420 261 334 452 456 298 
299:    0 420 261 150 480 52 105 299 
300:    0 286 134 434 417 413 143 300 
301:    0 76 357 78 224 99 394 301 
302:    0 420 349 302 
303:    0 286 134 434 396 484 252 180 303 
304:    0 76 357 78 224 304 
305:    0 278 305 
306:    0 76 357 78 224 304 306 
307:    0 286 134 197 307 
308:    0 286 134 434 140 476 308 
309:    0 76 357 78 224 304 173 139 288 309 
310:    0 420 261 149 61 333 244 85 310 
311:    0 234 370 214 311 
312:    0 286 134 197 492 137 312 
313:    0 76 357 128 58 232 223 313 
314:    0 286 134 434 417 413 143 314 
315:    0 76 357 251 315 
316:    0 420 261 150 480 316 
317:    0 420 261 149 61 333 317 
318:    0 286 134 197 455 255 318 
319:    0 420 261 149 179 319 
320:    0 420 440 153 320 
321:    0 420 261 149 179 1 321 
322:    0 76 357 251 218 322 
323:    0 420 261 149 61 333 244 5 39 323 
324:    0 420 261 334 483 470 465 324 
325:    0 420 261 150 454 325 
326:    0 286 326 
