The shortest path from 0 to each vertex is:
  v     Path 0->v
----    ---------
  1:    0 420 261 149 179 1 
  2:    0 286 134 197 492 137 191 2 
  3:    0 138 361 3 
  4:    0 286 134 434 29 4 
  5:    0 420 261 149 61 333 244 5 
  6:    0 278 168 6 
  7:    0 420 261 334 483 328 25 7 
  8:    0 286 134 434 20 360 8 
  9:    0 420 261 334 452 463 429 145 9 
 10:    0 76 357 78 224 481 10 
 11:    0 76 357 78 224 11 
 12:    0 420 245 12 
 13:    0 420 261 150 480 52 105 13 
 14:    0 286 326 204 221 14 
 15:    0 420 261 150 454 62 15 
 16:    0 76 357 128 58 232 342 16 
 17:    0 286 134 434 396 484 17 
 18:    0 420 261 149 61 333 18 
 19:    0 278 19 
 20:    0 286 134 434 20 
 21:    0 76 357 251 21 
 22:    0 76 357 251 218 322 22 
 23:    0 76 357 251 23 
 24:    0 286 134 197 492 475 111 414 24 
 25:    0 420 261 334 483 328 25 
 26:    0 286 134 151 26 
 27:    0 420 261 149 61 333 244 362 27 
 28:    0 234 370 435 28 
 29:    0 286 134 434 29 
 30:    0 420 349 281 203 30 
 31:    0 286 326 256 31 
 32:    0 420 261 149 126 32 
 33:    0 420 261 149 61 333 244 33 
 34:    0 420 261 150 454 382 34 
 35:    0 420 261 150 480 52 105 35 
 36:    0 420 261 149 61 338 274 36 
 37:    0 286 134 434 20 165 37 
 38:    0 420 406 388 38 
 39:    0 420 261 149 61 333 244 5 39 
 40:    0 286 464 40 
 41:    0 420 261 47 460 41 
 42:    0 286 134 228 335 89 239 42 
 43:    0 286 134 434 20 289 43 
 44:    0 420 406 347 44 
 45:    0 76 357 128 58 232 342 45 
 46:    0 76 357 128 58 232 158 46 
 47:    0 420 261 47 
 48:    0 286 134 434 140 195 113 48 
 49:    0 420 261 334 458 49 
 50:    0 420 261 334 452 405 327 50 
 51:    0 286 134 434 29 51 
 52:    0 420 261 150 480 52 
 53:    0 420 261 149 61 53 
 54:    0 286 134 434 20 289 43 54 
 55:    0 420 261 334 452 405 55 
 56:    0 420 261 47 460 352 56 
 57:    0 286 134 434 417 413 57 
 58:    0 76 357 128 58 
 59:    0 420 261 150 480 52 105 155 59 
 60:    0 138 60 
 61:    0 420 261 149 61 
 62:    0 420 261 150 454 62 
 63:    0 286 134 434 20 165 161 439 63 
 64:    0 286 134 434 417 413 143 314 64 
 65:    0 420 349 65 
 66:    0 420 261 149 61 462 196 66 
 67:    0 76 357 251 218 88 67 
 68:    0 76 357 128 58 232 71 194 68 
 69:    0 76 357 128 58 232 71 194 69 
 70:    0 420 261 150 480 52 105 13 70 
 71:    0 76 357 128 58 232 71 
 72:    0 286 134 197 492 137 72 
 73:    0 420 261 149 377 73 
 74:    0 286 134 197 400 74 
 75:    0 76 357 78 224 11 75 
 76:    0 76 
 77:    0 420 261 149 377 77 
 78:    0 76 357 78 
 79:    0 420 261 47 460 352 210 79 
 80:    0 286 134 228 225 80 
 81:    0 286 464 81 
 82:    0 286 134 197 492 82 
 83:    0 420 440 83 
 84:    0 420 245 84 
 85:    0 420 261 149 61 333 244 85 
 86:    0 420 261 150 454 382 118 86 
 87:    0 420 261 47 460 271 87 
 88:    0 76 357 251 218 88 
 89:    0 286 134 228 335 89 
 90:    0 420 261 149 61 333 244 459 90 
 91:    0 420 349 281 91 
 92:    0 286 134 434 396 484 92 
 93:    0 420 261 334 483 436 112 157 93 
 94:    0 420 261 334 458 49 94 
 95:    0 420 349 95 
 96:    0 420 261 334 483 96 
 97:    0 286 134 228 335 341 97 
 98:    0 286 134 197 492 137 451 98 
 99:    0 76 357 78 224 99 
100:    0 286 326 418 100 
101:    0 286 326 256 31 101 
102:    0 420 261 150 144 102 
103:    0 420 261 150 480 316 103 
104:    0 420 261 149 61 333 408 104 
105:    0 420 261 150 480 52 105 
106:    0 286 134 434 20 106 
107:    0 76 491 107 
108:    0 76 357 251 108 
109:    0 76 491 109 
110:    0 76 357 78 224 304 173 110 
111:    0 286 134 197 492 475 111 
112:    0 420 261 334 483 436 112 
113:    0 286 134 434 140 195 113 
114:    0 76 357 78 224 304 306 114 
115:    0 76 357 78 224 115 
116:    0 76 357 78 224 304 173 116 
117:    0 76 357 251 21 117 
118:    0 420 261 150 454 382 118 
119:    0 420 261 47 460 352 119 
120:    0 420 261 149 61 333 244 85 310 120 
121:    0 286 134 434 396 212 132 121 
122:    0 420 349 281 203 122 
123:    0 76 491 123 
124:    0 420 261 334 483 328 124 
125:    0 420 245 84 125 
126:    0 420 261 149 126 
127:    0 286 464 81 127 
128:    0 76 357 128 
129:    0 286 134 434 129 
130:    0 286 134 434 396 130 
131:    0 420 261 334 452 463 385 131 
132:    0 286 134 434 396 212 132 
133:    0 420 440 153 263 133 
134:    0 286 134 
135:    0 420 261 334 483 328 135 
136:    0 420 261 334 452 405 55 363 142 136 
137:    0 286 134 197 492 137 
138:    0 138 
139:    0 76 357 78 224 304 173 139 
140:    0 286 134 434 140 
141:    0 76 357 78 224 409 141 
142:    0 420 261 334 452 405 55 363 142 
143:    0 286 134 434 417 413 143 
144:    0 420 261 150 144 
145:    0 420 261 334 452 463 429 145 
146:    0 286 134 434 129 146 
147:    0 420 261 150 147 
148:    0 286 134 434 396 130 148 
149:    0 420 261 149 
150:    0 420 261 150 
151:    0 286 134 151 
152:    0 420 261 334 483 436 247 152 
153:    0 420 440 153 
154:    0 76 357 128 285 154 
155:    0 420 261 150 480 52 105 155 
156:    0 420 261 156 
157:    0 420 261 334 483 436 112 157 
158:    0 76 357 128 58 232 158 
159:    0 420 349 159 
160:    0 234 160 
161:    0 286 134 434 20 165 161 
162:    0 286 134 434 417 162 
163:    0 76 357 163 
164:    0 420 349 281 91 202 164 
165:    0 286 134 434 20 165 
166:    0 420 261 47 460 352 119 166 
167:    0 420 261 334 452 167 
168:    0 278 168 
169:    0 278 168 169 
170:    0 76 357 78 224 481 170 
171:    0 420 261 334 452 456 171 
172:    0 420 261 47 460 271 397 172 
173:    0 76 357 78 224 304 173 
174:    0 420 261 174 
175:    0 286 134 434 20 165 175 
176:    0 286 134 434 20 289 176 
177:    0 234 160 230 177 
178:    0 286 134 197 492 137 191 178 
179:    0 420 261 149 179 
180:    0 286 134 434 396 484 252 180 
181:    0 420 261 149 61 333 181 
182:    0 420 261 47 460 182 
183:    0 234 370 183 
184:    0 420 261 47 460 182 184 
185:    0 420 261 334 452 463 429 185 
186:    0 286 134 434 29 186 
187:    0 420 261 334 458 49 94 187 
188:    0 420 261 150 290 188 
189:    0 286 134 434 498 189 
190:    0 286 134 151 190 
191:    0 286 134 197 492 137 191 
192:    0 286 134 197 492 137 451 192 
193:    0 420 261 47 460 271 193 
194:    0 76 357 128 58 232 71 194 
195:    0 286 134 434 140 195 
196:    0 420 261 149 61 462 196 
197:    0 286 134 197 
198:    0 76 357 251 218 387 198 
199:    0 420 261 334 483 437 199 
200:    0 76 491 109 200 
201:    0 138 60 201 
202:    0 420 349 281 91 202 
203:    0 420 349 281 203 
204:    0 286 326 204 
205:    0 278 168 205 
206:    0 138 361 441 206 
207:    0 286 134 197 492 475 111 240 207 
208:    0 420 261 149 126 208 
209:    0 76 357 78 224 209 
210:    0 420 261 47 460 352 210 
211:    0 211 
212:    0 286 134 434 396 212 
213:    0 420 261 149 61 333 244 346 213 
214:    0 234 370 214 
215:    0 234 370 183 215 
216:    0 286 134 434 396 484 252 216 
217:    0 286 134 197 492 82 217 
218:    0 76 357 251 218 
219:    0 420 261 150 219 
220:    0 286 220 
221:    0 286 326 204 221 
222:    0 420 261 334 222 
223:    0 76 357 128 58 232 223 
224:    0 76 357 78 224 
225:    0 286 134 228 225 
226:    0 286 134 197 407 226 
227:    0 420 406 347 227 
228:    0 286 134 228 
229:    0 286 134 434 396 212 132 121 229 
230:    0 234 160 230 
231:    0 420 261 174 446 231 
232:    0 76 357 128 58 232 
233:    0 76 357 78 224 99 394 265 233 
234:    0 234 
235:    0 420 349 281 91 235 
236:    0 420 261 236 
237:    0 420 261 149 61 237 
238:    0 286 134 434 396 130 238 
239:    0 286 134 228 335 89 239 
240:    0 286 134 197 492 475 111 240 
241:    0 286 134 197 492 241 
242:    0 420 242 
243:    0 286 220 243 
244:    0 420 261 149 61 333 244 
245:    0 420 245 
246:    0 76 357 128 58 232 342 16 246 
247:    0 420 261 334 483 436 247 
248:    0 420 261 334 452 405 248 
249:    0 420 261 334 452 405 55 292 336 249 
250:    0 420 261 47 460 271 250 
251:    0 76 357 251 
252:    0 286 134 434 396 484 252 
253:    0 278 253 
254:    0 420 261 150 480 52 105 254 
255:    0 286 134 197 455 255 
256:    0 286 326 256 
257:    0 76 357 78 224 481 257 
258:    0 286 134 197 455 255 258 
259:    0 420 242 259 
260:    0 76 357 78 224 409 260 
261:    0 420 261 
262:    0 420 261 150 480 52 105 262 
263:    0 420 440 153 263 
264:    0 420 261 150 290 264 
265:    0 76 357 78 224 99 394 265 
266:    0 286 134 197 266 
267:    0 286 134 434 20 106 267 
268:    0 268 
269:    0 286 134 434 20 165 175 269 
270:    0 76 357 78 224 99 270 
271:    0 420 261 47 460 271 
272:    0 286 134 197 455 482 272 
273:    0 420 261 149 61 273 
